Episode,sum_rewwards,loss,entropy,paso_episodio,c_exploracion,p_exploracion,c_explotacion,p_explotacion,duration
0.0,15.0,4.559644460678101,2.70805020110221,15.0,10.0,0.6666666666666666,5.0,0.3333333333333333,15.0
1.0,12.0,7.265120446681976,3.295836866004329,12.0,12.0,1.0,0.0,0.0,12.0
2.0,9.0,5.370050430297852,3.5835189384561104,9.0,8.0,0.8888888888888888,1.0,0.1111111111111111,9.0
3.0,24.0,13.795239418745041,4.0943445622220995,24.0,24.0,1.0,0.0,0.0,24.0
4.0,19.0,10.631386578083038,4.369447852467019,19.0,16.0,0.8421052631578947,3.0,0.15789473684210525,19.0
5.0,14.0,7.933725535869598,4.532599493153256,14.0,12.0,0.8571428571428571,2.0,0.14285714285714285,14.0
6.0,19.0,10.695188462734222,4.718498871295095,19.0,15.0,0.7894736842105263,4.0,0.21052631578947367,19.0
7.0,14.0,7.80199933052063,4.836281906951481,14.0,9.0,0.6428571428571429,5.0,0.35714285714285715,14.0
8.0,18.0,9.86349532008171,4.969813299576001,18.0,16.0,0.8888888888888888,2.0,0.1111111111111111,18.0
9.0,13.0,7.346157431602478,5.056245805348309,13.0,8.0,0.6153846153846154,5.0,0.38461538461538464,13.0
10.0,16.0,8.71988183259964,5.153291594497778,16.0,10.0,0.625,6.0,0.375,16.0
11.0,11.0,5.922200590372086,5.214935757608986,11.0,9.0,0.8181818181818182,2.0,0.18181818181818182,11.0
12.0,10.0,5.37050473690033,5.267858159063328,10.0,4.0,0.4,6.0,0.6,10.0
13.0,20.0,10.806390225887299,5.365976015021849,20.0,15.0,0.75,5.0,0.25,20.0
14.0,10.0,5.438410639762878,5.41164605185504,10.0,7.0,0.7,3.0,0.3,10.0
15.0,11.0,5.827470809221268,5.45958551414416,11.0,9.0,0.8181818181818182,2.0,0.18181818181818182,11.0
16.0,11.0,5.977000206708908,5.505331535932364,11.0,10.0,0.9090909090909091,1.0,0.09090909090909091,11.0
17.0,11.0,5.993286430835724,5.549076084895219,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
18.0,21.0,10.955763727426529,5.627621113690637,21.0,20.0,0.9523809523809523,1.0,0.047619047619047616,21.0
19.0,20.0,10.701223343610764,5.697093486505405,20.0,14.0,0.7,6.0,0.3,20.0
20.0,12.0,6.383244752883911,5.736572297479192,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,12.0
21.0,14.0,7.174571216106415,5.780743515792328,14.0,10.0,0.7142857142857143,4.0,0.2857142857142857,14.0
22.0,16.0,8.485632061958313,5.828945617610206,16.0,8.0,0.5,8.0,0.5,16.0
23.0,11.0,5.812823683023453,5.860786223465864,11.0,6.0,0.5454545454545454,5.0,0.45454545454545453,11.0
24.0,15.0,7.946474671363831,5.902633333401367,15.0,8.0,0.5333333333333333,7.0,0.4666666666666667,15.0
25.0,13.0,6.745450913906097,5.937536205082425,13.0,10.0,0.7692307692307693,3.0,0.23076923076923078,13.0
26.0,12.0,5.988266468048096,5.968707559985367,12.0,6.0,0.5,6.0,0.5,12.0
27.0,24.0,12.360265403985977,6.028278520230696,24.0,18.0,0.75,6.0,0.25,24.0
28.0,12.0,6.18133807182312,6.056784013228625,12.0,8.0,0.6666666666666666,4.0,0.3333333333333333,12.0
29.0,11.0,5.5525453090667725,6.082218910376445,11.0,3.0,0.2727272727272727,8.0,0.7272727272727273,11.0
30.0,20.0,9.78919181227684,6.126869184114187,20.0,12.0,0.6,8.0,0.4,20.0
